year,energy_mwh,revenue_market_pln,cfd_payment_pln,capacity_rev_pln,balancing_rev_pln,fuel_cost_pln,co2_cost_pln,co2_t,vom_cost_pln,start_cost_pln,cycling_cost_pln,fund_cost_pln,fom_multiplier,capture_price,x_hours_at_min,x_curtailed_mwh,x_price_mean,x_neg_hours,x_avail_mean
2046,2364513.9,669448213.8751994,518282772.1432312,0.0,0.0,54385976.24121383,0.0,0.0,18916111.2,0.0,0.0,40575058.524,1.0,502.31507880686627,8,1715.7,284.0,295,0.9477808219178083
2047,2444952.3000000003,693641079.9979635,534451652.93746674,0.0,0.0,56236059.44121383,0.0,0.0,19559618.400000002,0.0,0.0,41955381.468,1.0,502.29721575158334,8,1715.7,283.0,294,0.9800000000000003
2048,2364513.9,664722691.9526312,523007080.31348366,0.0,0.0,54385976.24121383,0.0,0.0,18916111.2,0.0,0.0,40575058.524,1.0,502.31456548684923,8,1715.7,281.99999999999994,293,0.9477808219178083
2049,2364513.9,662359990.0226305,525369134.3862544,0.0,0.0,54385976.24121383,0.0,0.0,18916111.2,0.0,0.0,40575058.524,1.0,502.31429149512934,8,1715.7,281.0,291,0.9477808219178083
2050,2444952.3000000003,686300993.2870605,541789796.0766795,0.0,0.0,56236059.44121383,0.0,0.0,19559618.400000002,0.0,0.0,41955381.468,1.0,502.29642081922816,8,1715.7,280.0,291,0.9800000000000003
2051,2364513.9,659991817.8604101,527740456.2706057,0.0,0.0,54385976.24121383,0.0,0.0,18916111.2,0.0,0.0,40575058.524,1.0,502.3156235753217,8,1715.7,280.0,291,0.9477808219178083
2052,2364513.9,659986308.2740021,527749790.7570896,0.0,0.0,54385976.24121383,0.0,0.0,18916111.2,0.0,0.0,40575058.524,1.0,502.3172412017082,8,1715.7,280.0,291,0.9477808219178083
2053,2444952.3000000003,686313992.2298464,541788271.8341212,0.0,0.0,56236059.44121383,0.0,0.0,19559618.400000002,0.0,0.0,41955381.468,1.0,502.3011140397166,8,1715.7,280.0,291,0.9800000000000003
2054,2243856.3,627566179.6966213,499634058.93542206,0.0,0.0,51610851.44121383,0.0,0.0,17950850.4,0.0,0.0,38504574.107999995,1.0,502.3495660716078,8,1715.7,280.0,291,0.8994520547945208
2055,2364513.9,659969779.514778,527777794.2165412,0.0,0.0,54385976.24121383,0.0,0.0,18916111.2,0.0,0.0,40575058.524,1.0,502.32209408086766,8,1715.7,280.0,291,0.9477808219178083
2056,2444952.3000000003,686326991.172632,541786747.5915632,0.0,0.0,56236059.44121383,0.0,0.0,19559618.400000002,0.0,0.0,41955381.468,1.0,502.305807260205,8,1715.7,280.0,291,0.9800000000000003
2057,2364513.9,659958760.3419621,527796463.1895089,0.0,0.0,54385976.24121383,0.0,0.0,18916111.2,0.0,0.0,40575058.524,1.0,502.32532933364064,8,1715.7,280.0,290,0.9477808219178083
2058,2364513.9,659953250.755554,527805797.6759928,0.0,0.0,54385976.24121383,0.0,0.0,18916111.2,0.0,0.0,40575058.524,1.0,502.32694696002704,8,1715.7,280.0,290,0.9477808219178083
2059,2444952.3000000003,686339990.1154176,541785223.3490051,0.0,0.0,56236059.44121383,0.0,0.0,19559618.400000002,0.0,0.0,41955381.468,1.0,502.31050048069346,8,1715.7,280.0,290,0.9800000000000003
2060,2364513.9,659942231.5827382,527824466.6489605,0.0,0.0,54385976.24121383,0.0,0.0,18916111.2,0.0,0.0,40575058.524,1.0,502.3301822128001,8,1715.7,280.0,290,0.9477808219178083
2061,2364513.9,659936721.99633,527833801.1354443,0.0,0.0,54385976.24121383,0.0,0.0,18916111.2,0.0,0.0,40575058.524,1.0,502.3317998391866,8,1715.7,280.0,290,0.9477808219178083
2062,2444952.3000000003,686352989.0582032,541783699.106447,0.0,0.0,56236059.44121383,0.0,0.0,19559618.400000002,0.0,0.0,41955381.468,1.0,502.31519370118184,8,1715.7,280.0,290,0.9800000000000003
2063,2364513.9,659925702.823514,527852470.10841197,0.0,0.0,54385976.24121383,0.0,0.0,18916111.2,0.0,0.0,40575058.524,1.0,502.33503509195964,8,1715.7,280.0,290,0.9477808219178083
2064,2243856.3,627340627.3655093,499897860.26729274,0.0,0.0,51610851.44121383,0.0,0.0,17950850.4,0.0,0.0,38504574.107999995,1.0,502.3666121724471,8,1715.7,280.0,290,0.8994520547945208
2065,2444952.3000000003,686365988.000989,541782174.8638889,0.0,0.0,56236059.44121383,0.0,0.0,19559618.400000002,0.0,0.0,41955381.468,1.0,502.3198869216702,8,1715.7,280.0,290,0.9800000000000003
2066,2364513.9,659909174.06429,527880473.5678635,0.0,0.0,54385976.24121383,0.0,0.0,18916111.2,0.0,0.0,40575058.524,1.0,502.339887971119,8,1715.7,280.0,290,0.9477808219178083
2067,2364513.9,659903664.4778819,527889808.05434746,0.0,0.0,54385976.24121383,0.0,0.0,18916111.2,0.0,0.0,40575058.524,1.0,502.3415055975055,8,1715.7,280.0,289,0.9477808219178083
2068,2444952.3000000003,686378986.9437746,541780650.6213307,0.0,0.0,56236059.44121383,0.0,0.0,19559618.400000002,0.0,0.0,41955381.468,1.0,502.3245801421587,8,1715.7,280.0,289,0.9800000000000003
2069,2364513.9,659892645.3050661,527908477.02731514,0.0,0.0,54385976.24121383,0.0,0.0,18916111.2,0.0,0.0,40575058.524,1.0,502.34474085027836,8,1715.7,280.0,289,0.9477808219178083
2070,2364513.9,659887135.7186581,527917811.51379895,0.0,0.0,54385976.24121383,0.0,0.0,18916111.2,0.0,0.0,40575058.524,1.0,502.346358476665,8,1715.7,280.0,289,0.9477808219178083
2071,2444952.3000000003,686391985.8865602,541779126.3787726,0.0,0.0,56236059.44121383,0.0,0.0,19559618.400000002,0.0,0.0,41955381.468,1.0,502.32927336264703,8,1715.7,280.0,288,0.9800000000000003
2072,2364434.1,659913263.8800056,527895504.3983774,0.0,0.0,54384228.32872089,0.0,0.0,18915472.8,0.0,0.0,40573689.156,1.0,502.3649287913683,9,1795.5,280.0,288,0.9477808219178083
