year,energy_mwh,revenue_market_pln,cfd_payment_pln,capacity_rev_pln,balancing_rev_pln,fuel_cost_pln,co2_cost_pln,co2_t,vom_cost_pln,start_cost_pln,cycling_cost_pln,fund_cost_pln,fom_multiplier,capture_price,x_hours_at_min,x_curtailed_mwh,x_price_mean,x_neg_hours,x_avail_mean
2048,2294434.8,1187096963.4445136,176972751.67943722,112596000.0,0.0,91814045.11347291,0.0,0.0,34416522.0,0.0,221400.0,80305218.0,1.02,594.5123021686871,84,18540.0,516.0,285,0.8979452054794522
2049,2294229.0,1191604110.9937391,172533985.95960665,112596000.0,0.0,91806188.45937681,0.0,0.0,34413435.0,0.0,221400.0,80298015.0,1.02,594.5954379241765,85,18750.0,518.0,285,0.8979452054794522
2050,2428087.2,1274615771.048604,168537326.64782295,112596000.0,0.0,97160891.80528073,0.0,0.0,36421308.0,0.0,211500.0,84983052.0,1.02,594.3580188126798,86,18960.0,520.0,285,0.9500000000000002
2051,2294023.2,1196164050.3118162,168019251.47261092,112596000.0,0.0,91798331.80528073,0.0,0.0,34410348.0,0.0,222900.0,80290812.0,1.02,594.6684853860357,86,18960.0,520.0,285,0.8979452054794522
2052,2294023.2,1196164050.3118162,168019251.47261092,0.0,0.0,91798331.80528073,0.0,0.0,34410348.0,0.0,222900.0,80290812.0,1.02,594.6684853860357,86,18960.0,520.0,285,0.8979452054794522
2053,2428087.2,1274615771.048604,168537326.64782295,0.0,0.0,97160891.80528073,0.0,0.0,36421308.0,0.0,211500.0,84983052.0,1.02,594.3580188126798,86,18960.0,520.0,285,0.9500000000000002
2054,2226991.2,1163407362.9700744,161291040.85835275,0.0,0.0,89117051.80528073,0.0,0.0,33404868.000000004,0.0,222900.0,77944692.0,1.02,594.8377361475101,86,18960.0,520.0,285,0.8719178082191783
2055,2294023.2,1196164050.3118162,168019251.47261092,0.0,0.0,91798331.80528073,0.0,0.0,34410348.0,0.0,222900.0,80290812.0,1.02,594.6684853860357,86,18960.0,520.0,285,0.8979452054794522
2056,2428087.2,1274615771.048604,168537326.64782295,0.0,0.0,97160891.80528073,0.0,0.0,36421308.0,0.0,211500.0,84983052.0,1.02,594.3580188126798,86,18960.0,520.0,285,0.9500000000000002
2057,2294023.2,1196164050.3118162,168019251.47261092,0.0,0.0,91798331.80528073,0.0,0.0,34410348.0,0.0,222900.0,80290812.0,1.02,594.6684853860357,86,18960.0,520.0,285,0.8979452054794522
2058,2294023.2,1196164050.3118162,168019251.47261092,0.0,0.0,91798331.80528073,0.0,0.0,34410348.0,0.0,222900.0,80290812.0,1.02,594.6684853860357,86,18960.0,520.0,285,0.8979452054794522
2059,2428087.2,1274615771.048604,168537326.64782295,0.0,0.0,97160891.80528073,0.0,0.0,36421308.0,0.0,211500.0,84983052.0,1.02,594.3580188126798,86,18960.0,520.0,285,0.9500000000000002
2060,2294023.2,1196164050.3118162,168019251.47261092,0.0,0.0,91798331.80528073,0.0,0.0,34410348.0,0.0,222900.0,80290812.0,1.02,594.6684853860357,86,18960.0,520.0,285,0.8979452054794522
2061,2294023.2,1196164050.3118162,168019251.47261092,0.0,0.0,91798331.80528073,0.0,0.0,34410348.0,0.0,222900.0,80290812.0,1.02,594.6684853860357,86,18960.0,520.0,285,0.8979452054794522
2062,2428087.2,1274615771.048604,168537326.64782295,0.0,0.0,97160891.80528073,0.0,0.0,36421308.0,0.0,211500.0,84983052.0,1.02,594.3580188126798,86,18960.0,520.0,285,0.9500000000000002
2063,2294023.2,1196164050.3118162,168019251.47261092,0.0,0.0,91798331.80528073,0.0,0.0,34410348.0,0.0,222900.0,80290812.0,1.02,594.6684853860357,86,18960.0,520.0,285,0.8979452054794522
2064,2226991.2,1163407362.9700744,161291040.85835275,0.0,0.0,89117051.80528073,0.0,0.0,33404868.000000004,0.0,222900.0,77944692.0,1.02,594.8377361475101,86,18960.0,520.0,285,0.8719178082191783
2065,2428087.2,1274615771.048604,168537326.64782295,0.0,0.0,97160891.80528073,0.0,0.0,36421308.0,0.0,211500.0,84983052.0,1.02,594.3580188126798,86,18960.0,520.0,285,0.9500000000000002
