ym,mean,std,min,max,neg_hours,hours
2022-01,654.9921424206989,275.31784161004384,90.034218,1438.16456,0,744
2022-02,532.3210370922619,147.0733818405653,144.03009100000003,1053.86,0,672
2022-03,673.4917226729475,212.04522959744983,225.621938,1916.1901219999997,0,743
2022-04,577.3835934458334,194.07329011877462,90.0257,1348.797687,0,720
2022-05,653.1192139422043,195.283140816533,206.977824,1320.6602480000001,0,744
2022-06,860.6318430347222,322.5876691800322,149.64352999999997,2242.0074,0,720
2022-07,1049.8643696263441,521.1346577931289,227.177046,3245.7326500000004,0,744
2022-08,1269.811607547043,600.4714750397205,370.07184500000005,3678.1326,0,744
2022-09,833.1791961597222,322.406639785021,374.152856,3352.523157,0,720
2022-10,645.4922768697986,177.30221999320958,271.05306799999994,1495.39416,0,745
2022-11,802.4988692902778,220.84965424943724,350.778988,1480.937402,0,720
2022-12,813.6456094892472,274.2215197975364,75.71241199999999,1339.9388999999999,0,744
2023-01,622.5809007768818,193.8686775069902,24.246782999999997,996.6647280000001,0,744
2023-02,648.6957192008929,137.87106862571375,203.35719600000002,1026.953356,0,672
2023-03,565.1613345706595,121.62952140667305,201.529656,937.0089500000001,0,743
2023-04,566.8342239013889,109.70639319872394,36.665310999999996,944.999373,0,720
2023-05,479.83167365053765,127.61260620437132,29.814478,846.7766999999999,0,744
2023-06,527.0366655402778,163.79310486178068,-23.431708,958.8971590000001,5,720
2023-07,514.7689248696237,162.01857558816815,12.193822000000003,836.96928,0,744
2023-08,477.78080468682793,152.12866947088432,50.41,966.9731400000001,0,744
2023-09,504.64578019166663,138.3988366934207,21.536891999999998,993.308664,0,720
2023-10,430.3859851073825,190.82344229835843,-47.14795,889.620611,25,745
2023-11,432.44545697499996,146.9002217701345,50.14726,853.0520879999999,0,720
2023-12,347.11242744623655,190.98110934687313,-59.780728,767.147172,13,744
2024-01,408.1888268091398,98.45625918314602,139.60979999999998,703.60301,0,744
2024-02,328.68048505028736,84.21476303676735,46.826796,577.046169,0,696
2024-03,324.62457258681025,91.86764456229582,0.129237,645.287725,0,743
2024-04,348.1254368805555,127.65715277631946,-199.8724,658.639906,15,720
2024-05,366.45191213037634,136.70183865704098,-106.90896199999999,674.729598,31,744
2024-06,455.4390212138889,216.90850397382363,-139.63,1564.52,19,720
2024-07,466.90729838709683,295.1949878997216,-263.65,2251.82,28,744
2024-08,429.5866935483871,249.5164213889616,-265.14,1749.38,39,744
2024-09,406.54991666666666,266.95236924152755,-231.79,2321.35,26,720
2024-10,445.61512751677856,218.43883068083576,-61.3,1250.44,20,745
2024-11,523.117875,269.90573278935256,-5.49,2748.07,11,720
2024-12,467.9006048387097,235.32507605714824,-70.11,1433.69,8,744
2025-01,484.98345430107526,187.82401306331033,-311.89,1392.93,11,744
2025-02,559.238005952381,147.14352012557273,85.95,1250.14,0,672
2025-03,415.13749663526244,209.2965309187927,-137.89,1174.46,44,743
2025-04,366.4710555555555,225.14725522524776,-531.81,1178.36,75,720
2025-05,400.1594623655914,221.50737507138683,-550.72,1499.92,49,744
2025-06,347.5437361111111,269.22243694781355,-567.92,1818.28,72,720
2025-07,435.7137365591398,190.90750669931373,-9.18,1999.17,5,744
2025-08,382.0266129032258,190.18548157939438,-261.87,1251.19,36,744
2025-09,458.03063888888886,251.0523867880357,-249.95,1897.83,13,720
2025-10,445.99311073825504,200.84560770700068,-0.49,1748.3274999999999,4,745
2025-11,526.0133506944444,214.26330606454673,-0.3699999999999999,1798.7325,1,720
2025-12,492.44004032258067,153.8047905534441,189.7125,1645.72,0,744
2026-01,603.5196505376344,304.60825240766894,-9.945,2157.575,9,744
2026-02,487.99195684523806,136.07961920989354,-0.8425,953.995,4,672
2026-03,446.78461978465674,232.68734836524834,-181.4725,1238.525,39,743
2026-04,353.21222569444444,297.48685727599815,-1679.3,1139.5825,87,720
2026-05,432.19998991935483,275.5484124698629,-1998.415,1545.5875,53,744
2026-06,487.1739791666667,308.38604874144664,-93.7825,2698.69,32,720
2026-07,484.36819556451616,250.86301634882398,-245.185,1330.6275,40,744
2026-08,579.4550268817204,300.78163409719286,-218.975,1988.3625000000002,29,744
2026-09,669.4773355263158,332.768662385113,-64.22749999999999,2866.73,9,456
