draw,capex_mult,delay_years,price_mult,gas_mult,eua_mult,cf_adj,wacc_adj,fom_mult,npv_S1a_smr_cfd,lcoe_S1a_smr_cfd,irr_S1a_smr_cfd,npv_S2_smr_dynamic,lcoe_S2_smr_dynamic,irr_S2_smr_dynamic,npv_S3a_gas_ccgt,lcoe_S3a_gas_ccgt,irr_S3a_gas_ccgt,npv_S3b_gas_ocgt,lcoe_S3b_gas_ocgt,irr_S3b_gas_ocgt
13,1.075078075235666,1.3608281928547206,1.0069025727853982,1.0739235368962863,1.162838605044225,-0.018912831904786608,0.0006488133163456405,0.9060301041535112,-788.5336896120211,525.4778894921584,0.04674183221756411,-6731.246441967951,690.1047738946061,0.023959349572080443,-1968.3581104841448,1410.3706789046819,,-1101.7401324593202,2455.8673317352122,
14,1.3281040796745818,2.5773081644434703,1.1306185019582984,1.091585916064482,0.9651672753222194,0.02424725175135043,0.004788553992521847,1.0419776581239066,-4042.3886372047464,648.3646200059868,0.036729987321275026,-8220.517912448933,869.9290718440844,0.023472122984404938,-1637.5714195307328,837.5215759221325,,-1047.9633651894508,1638.9531932802101,
15,1.1163609963610837,2.192182422228059,1.016982009553368,1.2542447150010931,1.0666858134353365,0.01470910768262436,0.005834949458132222,1.1647036413723295,-2379.934599060362,586.4532056802784,0.043375831378306806,-7399.572506566847,769.6749211644324,0.021397575936843088,-2110.0283775492135,1720.2800267806288,,-1183.7734232992625,2842.682655840924,
16,1.0874556905301842,1.5416031991319203,1.0715187782341542,0.8942721205845421,1.0346624021355955,0.012732336667676484,0.008485397221366108,0.9520720558446928,-2115.2695687847827,582.2997613743056,0.04695526536526881,-6585.676564281719,764.3928642545951,0.02867135525147165,-1398.5345687132308,764.8943049439853,,-917.5114989140327,1474.1962059839059,
17,0.8778466649101688,1.5542094019595627,1.2261161707763426,0.8776951077749411,1.1122617235326557,-0.020017928215649235,-0.003318349100199628,1.1018485809360279,1500.832379656963,464.3911594072963,0.054413623416640584,-3092.2721249645792,604.0585414124689,0.0441254412189678,-499.7465468261719,658.1102694880723,0.035302837830322,-559.0498946973532,1104.1636481455155,-0.008773292642289045
18,1.0525931197658975,1.262629805849263,1.0486898704559413,1.0168037961909753,1.1110245812495003,0.0048681973275959585,-5.226153199736766e-05,0.9317466573818011,-94.71916453577322,504.99544652240087,0.04948328371617092,-5978.385103103558,661.3683479885432,0.02895571142750058,-1747.0331800612214,1015.8956432774056,,-1016.5882205969438,1957.081988346959,
19,0.9406708991954483,0.9448963651941882,1.0490992575460085,0.7539248714947088,0.8892099128599588,-0.009899837998611424,0.0029998483471971524,1.1705168369534629,-258.7912419580668,512.440023285416,0.05154132809851096,-5528.526528327767,660.8607966556837,0.0295462059081423,-756.8734730671189,578.8519240178695,0.022473811586453635,-677.270061762934,967.8375735042486,
20,0.9876113147269389,0.2843331778543632,0.8777685627670493,1.243910010007175,1.0265731040749828,0.005590297585609177,-0.0007621559545570138,1.3884839884095388,-206.8744632019005,504.367711980522,0.048127318193667556,-7600.213151016813,646.8240956043134,0.011244635876537052,-2261.3047019973937,2828.234349959433,,-1257.1530506986278,3847.2025998316303,
21,1.2869908209166325,1.10283711376837,1.0164412493329613,1.2695736961311757,1.0189641736177755,-0.021996164404736673,0.00370498641998623,1.0274394892777423,-3785.8277451302815,626.2513912979686,0.03630401405151098,-9122.61544288311,825.749386210417,0.015844734528212917,-2219.9939131417023,1682.0192467743846,,-1241.2833203725022,2803.9976678166513,
22,1.3597102907698757,1.5247697007701355,0.9645630676224146,0.9006276224691723,1.0273316796602168,-0.010978986272863575,0.005587395992164979,0.9472722809241834,-4723.476590948718,666.81528342401,0.033936247160890595,-9947.418029264236,890.9865342950063,0.01159838793620252,-2048.7914639113874,1012.2266677158818,,-1190.336464702208,2018.8782937103583,
