name,net_mw,overnight_mpln,capex_total_mpln,wacc_real,npv_project_posttax_mpln,npv_project_pretax_mpln,npv_at_common_rate_mpln,irr_project_posttax,irr_project_pretax,lcoe_pln_per_mwh,lcoe_ex_co2_pln_per_mwh,lcoe_capex_component,lcoe_post_tax_pln_per_mwh,levelised_revenue_pln_per_mwh,energy_twh_life,avg_capacity_factor,avg_capture_price,cfd_payments_total_mpln,cfd_payments_pv_mpln,co2_mt_life,local_revenue_total_mpln,local_revenue_avg_op_year_mpln,local_property_tax_host_avg_mpln,state_cit_total_mpln,state_eua_total_mpln,payback_year,equity_irr,min_dscr,strike_pln,fixed_price_pln,scenario,case,required_premium_pln_per_mwh,required_capacity_payment_pln_per_kw_yr,required_capacity_payment_15yr_pln_per_kw_yr
"CCGT 1+1 F-class, ~300 MW",300.0,1860.0,1965.0,0.07,-924.5477920446834,-910.5828646584076,-924.5477920446834,,,963.2429614411501,749.788329724706,349.6551996204232,965.8895554750121,790.6718402113813,13.5541545,0.1719197678843227,639.2732558506023,0.0,0.0,5.1238562938596,191.44138870362318,6.334783023454106,5.580000000000003,27.749305574543886,2991.771089204883,,,,545.4125,,S3d_gas_ccgt_capmarket,central,214.86882439441672,372.91867629135277,508.08156616345104
SMR CfD,300.0,16500.0,18300.0,0.065,-8387.716047377191,-7905.822304912908,-8826.519532022789,0.02434008622213941,0.02874542182193421,934.0945788570054,934.0945788570054,619.6157460630143,953.0406305270446,623.2706260140604,138.13154292,0.8760244984779298,523.5556642539774,7310.363507954921,2053.9397958964314,0.0,9606.397703624722,159.87871024157144,66.0,4898.259163629946,0.0,2061.0,,,589.0455,483.3916060216895,S1a_smr_cfd,high,383.29422777889926,2961.3910084657136,4734.665261013259
SMR fixed price,300.0,16500.0,18300.0,0.065,-10542.686357635232,-10265.078709546726,-10812.421866404075,0.011624677593993724,0.01552621967525589,907.2911685124816,907.2911685124816,602.077242840564,917.896606860001,515.1346118176745,143.48052,0.9099474885844749,483.3916060216896,0.0,0.0,0.0,9166.897073078759,152.55369973247207,66.0,3407.0963099918577,0.0,2075.0,,,589.0455,483.3916060216895,S1b_smr_fixed_spotavg,high,463.0389987231394,3681.800367553541,5886.454118489779
SMR merchant baseload,300.0,16500.0,18300.0,0.085,-11061.732844705437,-10871.593904788624,-10389.153502460651,0.016038209038154113,0.02015355012573864,1125.1865159924778,1125.1865159924778,816.1715006493313,1135.4584340333358,537.8679919050904,143.48052,0.9099474885844749,513.0543549400588,0.0,0.0,0.0,9383.548684540274,156.1645599234973,66.0,4142.164277450565,0.0,2070.0,,,589.0455,483.3916060216895,S1c_smr_merchant_baseload,high,698.9243304783782,5553.312618803233,7808.549762301316
SMR dynamic (50–100 %),300.0,16500.0,18300.0,0.085,-11164.928987230443,-10981.33919480084,-10519.661193823049,0.015124903779226834,0.019218480688440225,1191.0996758332099,1191.0996758332099,865.86134691774,1201.621618593116,561.7344975969763,135.23090657999998,0.8576287834855402,535.3725015799852,0.0,0.0,0.0,9348.16040414672,155.57475525027147,66.0,4022.0968975438745,0.0,2071.0,,,589.0455,483.3916060216895,S2_smr_dynamic,high,747.7939985039228,5600.662809410576,7875.129179847519
"CCGT 1+1 F-class, ~300 MW",300.0,2550.0,2655.0,0.085,-2312.5144488870196,-2309.832893000091,-2312.4546615432064,,,1474.8519843723375,1184.5577367201201,675.1498856228475,1475.5874986184076,841.2962911556779,14.18445,0.17991438356164383,838.1304447710954,0.0,0.0,5.139932342666592,264.63297171523624,8.774502457174544,7.650000000000002,29.39179158221519,4360.250216064179,,,,589.0455,,S3a_gas_ccgt,high,731.1188422114824,1145.7806565546248,1482.8004540494085
OCGT frame peaker,300.0,1740.0,1845.0,0.085,-1515.6798939296311,-1510.3481551057123,-1482.577025932422,,,2868.69154082757,2461.589482298785,1635.0800698336495,2873.6092766637853,1475.6200696211286,3.579882,0.04540692541856925,1200.5071699135835,0.0,0.0,1.7286418095348848,152.86812795801862,5.053667325267287,4.176,46.80074848889495,1537.8952221257475,,,,589.0455,,S3b_gas_ocgt,high,1602.2407947158165,634.2955883032913,820.867223545083
Gas reciprocating engines (Wärtsilä 50DF/31SG class),72.0,360.0,385.2,0.085,-261.65072979452754,-259.66261256516594,-248.241767470616,-0.02559998797496193,-0.021774277275938263,1605.5525130998983,1257.6091868781466,674.3551924402994,1609.1749271607443,1132.4388128911241,1.4517151920000002,0.09206717351598173,1006.1352697521427,0.0,0.0,0.5867095039200088,46.463219637617335,1.8464509467846932,0.8639999999999999,12.444147609849976,531.3829591371032,,,,589.0455,,S3c_gas_engines,high,552.6410456660382,446.61747448785553,550.414044370221
"CCGT 1+1 F-class, ~300 MW",300.0,2550.0,2655.0,0.085,-1648.2592392815593,-1643.382318923884,-1542.5440274762545,,,1475.7705688582544,1185.476321206037,675.1498856228475,1477.1082416688428,1025.0131883390472,14.18445,0.17991438356164383,838.1304447710954,0.0,0.0,5.139932342666592,267.94657870185927,8.88495602339531,7.650000000000002,40.63438671540044,4360.250216064179,,,,589.0455,,S3d_gas_ccgt_capmarket,high,547.4019793780702,857.86682919274,1110.1996848733472
SMR CfD,285.0,7980.0,8790.0,0.05,4439.459754631183,6206.900103240487,1106.2518469097536,0.07989312111178645,0.08873321303311202,333.0447477960766,333.0447477960766,212.2067286772481,378.9220372980006,494.1566931977662,140.4217287,0.9374197488584475,387.38680588015944,11374.332242495748,4111.641920585996,0.0,3082.26312453649,51.21220003015362,6.384000000000001,7629.833426030278,0.0,2045.0,,,,,S1a_smr_cfd,smr-low/market-central,-140.8173848161987,-1163.6594194822537,-2122.1552751477393
